name,start_time,"data","error"
"Async Serial",22.2047797,0xFFF8,
"Async Serial",22.2213501,0xB9A0,
"Async Serial",22.2215223,0xFFF8,
"Async Serial",22.238093,0xB9A0,
"Async Serial",22.2382652,0xFFF8,
"Async Serial",22.2548354,0xB9A0,
"Async Serial",22.2550076,0xFFF8,
"Async Serial",22.2715782,0xB9A0,
"Async Serial",22.2717503,0xFFF8,
"Async Serial",22.2883209,0xB9A0,
"Async Serial",22.2884931,0xFFF8,
"Async Serial",22.3050637,0xB9A0,
"Async Serial",22.3052358,0xFFF8,
"Async Serial",22.3218067,0xB9A0,
"Async Serial",22.3219788,0xFFF8,
"Async Serial",22.3385494,0xB9A0,
"Async Serial",22.3387216,0xFFF8,
"Async Serial",22.3552921,0xB9A0,
"Async Serial",22.3554643,0xFFF8,
"Async Serial",22.3720346,0xB9A0,
"Async Serial",22.3722068,0xFFF8,
"Async Serial",22.3887775,0xB9A0,
"Async Serial",22.3889497,0xFFF8,
"Async Serial",22.40552,0xB9A0,
"Async Serial",22.4056923,0xFFF8,
"Async Serial",22.4222631,0xB9A0,
"Async Serial",22.4224352,0xFFF8,
"Async Serial",22.4390055,0xB9A0,
"Async Serial",22.4391777,0xFFF8,
"Async Serial",22.4557485,0xB9A0,
"Async Serial",22.4559208,0xFFF8,
"Async Serial",22.4724912,0xB9A0,
"Async Serial",22.4726635,0xFFF8,
"Async Serial",22.489234,0xB9A0,
"Async Serial",22.4894062,0xFFF8,
"Async Serial",22.5059767,0xB9A0,
"Async Serial",22.506149,0xFFF8,
"Async Serial",22.5227192,0xB9A0,
"Async Serial",22.5228914,0xFFF8,
"Async Serial",22.5394619,0xB9A0,
"Async Serial",22.5396342,0xFFF8,
"Async Serial",22.5562047,0xB9A0,
"Async Serial",22.5563769,0xFFF8,
"Async Serial",22.5729474,0xB9A0,
"Async Serial",22.5731196,0xFFF8,
"Async Serial",22.5896904,0xB9A0,
"Async Serial",22.5898626,0xFFF8,
"Async Serial",22.6064332,0xB9A0,
"Async Serial",22.6066053,0xFFF8,
"Async Serial",22.6231759,0xB9A0,
"Async Serial",22.6233481,0xFFF8,
"Async Serial",22.6399183,0xB9A0,
"Async Serial",22.6400905,0xFFF8,
"Async Serial",22.6566614,0xB9A0,
"Async Serial",22.6568336,0xFFF8,
"Async Serial",22.673404,0xB9A0,
"Async Serial",22.6735762,0xFFF8,
"Async Serial",22.6901465,0xB9A0,
"Async Serial",22.6903187,0xFFF8,
"Async Serial",22.7068893,0xB9A0,
"Async Serial",22.7070615,0xFFF8,
"Async Serial",22.723632,0xB9A0,
"Async Serial",22.7238042,0xFFF8,
"Async Serial",22.7403748,0xB9A0,
"Async Serial",22.740547,0xFFF8,
"Async Serial",22.7571175,0xB9A0,
"Async Serial",22.7572897,0xFFF8,
"Async Serial",22.7738605,0xB9A0,
"Async Serial",22.7740327,0xFFF8,
"Async Serial",22.7906033,0xB9A0,
"Async Serial",22.7907754,0xFFF8,
"Async Serial",22.807346,0xB9A0,
"Async Serial",22.8075182,0xFFF8,
"Async Serial",22.8240884,0xB9A0,
"Async Serial",22.8242606,0xFFF8,
"Async Serial",22.8408312,0xB9A0,
"Async Serial",22.8410034,0xFFF8,
"Async Serial",22.8575739,0xB9A0,
"Async Serial",22.857746,0xFFF8,
"Async Serial",22.8743167,0xB9A0,
"Async Serial",22.8744889,0xFFF8,
"Async Serial",22.8910593,0xB9A0,
"Async Serial",22.8912316,0xFFF8,
"Async Serial",22.9078024,0xB9A0,
"Async Serial",22.9079746,0xFFF8,
"Async Serial",22.9245452,0xB9A0,
"Async Serial",22.9247173,0xFFF8,
"Async Serial",22.9412876,0xB9A0,
"Async Serial",22.9414597,0xFFF8,
"Async Serial",22.9580303,0xB9A0,
"Async Serial",22.9582025,0xFFF8,
"Async Serial",22.9747733,0xB9A0,
"Async Serial",22.9749455,0xFFF8,
"Async Serial",22.9915158,0xB9A0,
"Async Serial",22.9916879,0xFFF8,
"Async Serial",23.0082587,0xB9A0,
"Async Serial",23.008431,0xFFF8,
"Async Serial",23.0250015,0xB9A0,
"Async Serial",23.0251738,0xFFF8,
"Async Serial",23.0417443,0xB9A0,
"Async Serial",23.0419164,0xFFF8,
"Async Serial",23.0584867,0xB9A0,
"Async Serial",23.0586588,0xFFF8,
"Async Serial",23.0752295,0xB9A0,
"Async Serial",23.0754017,0xFFF8,
"Async Serial",23.0919722,0xB9A0,
"Async Serial",23.0921443,0xFFF8,
"Async Serial",23.1087153,0xB9A0,
"Async Serial",23.1088874,0xFFF8,
"Async Serial",23.1254577,0xB9A0,
"Async Serial",23.1256298,0xFFF8,
"Async Serial",23.1422007,0xB9A0,
"Async Serial",23.1423728,0xFFF8,
"Async Serial",23.1589434,0xB9A0,
"Async Serial",23.1591156,0xFFF8,
"Async Serial",23.1756862,0xB9A0,
"Async Serial",23.1758583,0xFFF8,
"Async Serial",23.1924288,0xB9A0,
"Async Serial",23.192601,0xFFF8,
"Async Serial",23.2091713,0xB9A0,
"Async Serial",23.2093435,0xFFF8,
"Async Serial",23.2259141,0xB9A0,
"Async Serial",23.2260863,0xFFF8,
"Async Serial",23.2426567,0xB9A0,
"Async Serial",23.2428289,0xFFF8,
"Async Serial",23.2593998,0xB9A0,
"Async Serial",23.2595721,0xFFF8,
"Async Serial",23.2761422,0xB9A0,
"Async Serial",23.2763145,0xFFF8,
"Async Serial",23.2928851,0xB9A0,
"Async Serial",23.2930573,0xFFF8,
"Async Serial",23.309628,0xB9A0,
"Async Serial",23.3098002,0xFFF8,
"Async Serial",23.3263707,0xB9A0,
"Async Serial",23.3265429,0xFFF8,
"Async Serial",23.3431132,0xB9A0,
"Async Serial",23.3432854,0xFFF8,
"Async Serial",23.3598562,0xB9A0,
"Async Serial",23.3600284,0xFFF8,
"Async Serial",23.376599,0xB9A0,
"Async Serial",23.3767712,0xFFF8,
"Async Serial",23.3933418,0xB9A0,
"Async Serial",23.3935139,0xFFF8,
"Async Serial",23.4100844,0xB9A0,
"Async Serial",23.4102567,0xFFF8,
"Async Serial",23.4268272,0xB9A0,
"Async Serial",23.4269994,0xFFF8,
"Async Serial",23.4435699,0xB9A0,
"Async Serial",23.4437421,0xFFF8,
"Async Serial",23.4603127,0xB9A0,
"Async Serial",23.4604848,0xFFF8,
"Async Serial",23.4770551,0xB9A0,
"Async Serial",23.4772272,0xFFF8,
"Async Serial",23.4937982,0xB9A0,
"Async Serial",23.4939703,0xFFF8,
"Async Serial",23.5105406,0xB9A0,
"Async Serial",23.5107127,0xFFF8,
"Async Serial",23.5272836,0xB9A0,
"Async Serial",23.5274558,0xFFF8,
"Async Serial",23.544026,0xB9A0,
"Async Serial",23.5441983,0xFFF8,
"Async Serial",23.5607691,0xB9A0,
"Async Serial",23.5609412,0xFFF8,
"Async Serial",23.5775117,0xB9A0,
"Async Serial",23.5776838,0xFFF8,
"Async Serial",23.5942545,0xB9A0,
"Async Serial",23.5944268,0xFFF8,
"Async Serial",23.6109973,0xB9A0,
"Async Serial",23.6111695,0xFFF8,
"Async Serial",23.62774,0xB9A0,
"Async Serial",23.6279123,0xFFF8,
"Async Serial",23.6444824,0xB9A0,
"Async Serial",23.6446546,0xFFF8,
